timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574956776836,823,www.harborfreight.com,200,OK,Thread Group 1-1,text,true,,495216,126,1,1,https://www.harborfreight.com/,619,0,502
1574956777661,5037,www.dickssportinggoods.com,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to www.dickssportinggoods.com:443 [www.dickssportinggoods.com/23.63.167.148] failed: connect timed out,Thread Group 1-1,text,false,,2877,0,1,1,https://www.dickssportinggoods.com/,0,0,5037
1574958308603,435,www.amazon.com,200,OK,Thread Group 1-1,text,true,,94948,119,1,1,https://www.amazon.com/,307,0,198
1574958309040,525,www.kohls.com,200,OK,Thread Group 1-1,text,true,,396188,118,1,1,https://www.kohls.com/,242,0,146
1574958309566,535,www.walmart.com,200,OK,Thread Group 1-1,text,true,,196518,120,1,1,https://www.walmart.com/,428,0,145
1574958310103,1398,www.walgreens.com,200,OK,Thread Group 1-1,text,true,,1431640,122,1,1,https://www.walgreens.com/,894,0,269
1574958311503,459,www.homedepot.com,200,OK,Thread Group 1-1,text,true,,214453,122,1,1,https://www.homedepot.com/,351,0,204
1574958311964,506,www.wholefoods.com,200,OK,Thread Group 1-1,text,true,,128818,252,1,1,https://www.wholefoodsmarket.com/,221,0,163
1574958311964,221,www.wholefoods.com-0,301,Found,Thread Group 1-1,,true,,307,123,1,1,https://www.wholefoods.com/,221,0,163
1574958312186,284,www.wholefoods.com-1,200,OK,Thread Group 1-1,text,true,,128511,129,1,1,https://www.wholefoodsmarket.com/,193,0,137
1574958312472,220,www.apple.com,200,OK,Thread Group 1-1,text,true,,85429,118,1,1,https://www.apple.com/,157,0,123
1574958312693,477,www.samsung.com,200,OK,Thread Group 1-1,text,true,,220047,243,1,1,https://www.samsung.com/us/,163,0,129
1574958312693,163,www.samsung.com-0,301,Moved Permanently,Thread Group 1-1,,true,,414,120,1,1,https://www.samsung.com/,163,0,129
1574958312857,313,www.samsung.com-1,200,OK,Thread Group 1-1,text,true,,219633,123,1,1,https://www.samsung.com/us/,80,0,0
1574958313172,804,www.vizio.com,200,OK,Thread Group 1-1,text,true,,112214,243,1,1,https://www.vizio.com/en/home,222,0,158
1574958313172,222,www.vizio.com-0,301,Moved Permanently,Thread Group 1-1,text,true,,464,118,1,1,https://www.vizio.com/,222,0,158
1574958313394,582,www.vizio.com-1,200,OK,Thread Group 1-1,text,true,,111750,125,1,1,https://www.vizio.com/en/home,541,0,0
1574958313984,904,store.google.com,200,OK,Thread Group 1-1,text,true,,2028069,121,1,1,https://store.google.com/,348,0,238
1574958314889,383,www.sprint.com,200,OK,Thread Group 1-1,text,true,,244565,119,1,1,https://www.sprint.com/,222,0,135
1574958315274,281,www.verizon.com,200,OK,Thread Group 1-1,text,true,,52785,279,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,213,0,131
1574958315274,213,www.verizon.com-0,302,Found,Thread Group 1-1,,true,,177,120,1,1,https://www.verizon.com/,213,0,131
1574958315487,68,www.verizon.com-1,200,OK,Thread Group 1-1,text,true,,52608,159,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,31,0,0
1574958315557,382,www.samsclub.com,200,OK,Thread Group 1-1,text,true,,312686,121,1,1,https://www.samsclub.com/,221,0,179
1574958315940,271,www.sears.com,200,OK,Thread Group 1-1,text,true,,116933,118,1,1,https://www.sears.com/,197,0,156
1574958316215,259,www.kmart.com,200,OK,Thread Group 1-1,text,true,,83451,118,1,1,https://www.kmart.com/,206,0,164
1574958316476,555,www.staples.com,200,OK,Thread Group 1-1,text,true,,560922,120,1,1,https://www.staples.com/,387,0,128
1574958317032,316,www.dell.com,200,OK,Thread Group 1-1,text,true,,197074,239,1,1,https://www.dell.com/en-us,161,0,122
1574958317032,162,www.dell.com-0,302,Moved Temporarily,Thread Group 1-1,text,true,,1469,117,1,1,https://www.dell.com/,161,0,122
1574958317194,154,www.dell.com-1,200,OK,Thread Group 1-1,text,true,,195605,122,1,1,https://www.dell.com/en-us,45,0,0
1574958317350,412,www.target.com,200,OK,Thread Group 1-1,text,true,,282158,119,1,1,https://www.target.com/,162,0,119
1574958317763,2691,www.bjs.com,200,OK,Thread Group 1-1,text,true,,6429444,116,1,1,https://www.bjs.com/,202,0,150
1574958320456,433,www.lenovo.com,200,OK,Thread Group 1-1,text,true,,230330,244,1,1,https://www.lenovo.com/us/en/,180,0,136
1574958320456,180,www.lenovo.com-0,301,Moved Permanently,Thread Group 1-1,,true,,1104,119,1,1,https://www.lenovo.com/,180,0,136
1574958320636,253,www.lenovo.com-1,200,OK,Thread Group 1-1,text,true,,229226,125,1,1,https://www.lenovo.com/us/en/,119,0,0
1574958320890,1573,www.harborfreight.com,200,OK,Thread Group 1-1,text,true,,495204,126,1,1,https://www.harborfreight.com/,1339,0,1285
1574958322465,368,www.dickssportinggoods.com,200,OK,Thread Group 1-1,text,true,,175279,131,1,1,https://www.dickssportinggoods.com/,254,0,160
