elapsed,label
317,www.wholefoods.com-1
254,www.apple.com
396,www.samsung.com
158,www.samsung.com-0
238,www.samsung.com-1
712,www.vizio.com
263,www.vizio.com-0
449,www.vizio.com-1
743,store.google.com
313,www.sprint.com
263,www.verizon.com
206,www.verizon.com-0
57,www.verizon.com-1
302,www.samsclub.com
279,www.sears.com
267,www.kmart.com
583,www.staples.com
368,www.dell.com
196,www.dell.com-0
172,www.dell.com-1
324,www.target.com
1291,www.bjs.com
377,www.lenovo.com
201,www.lenovo.com-0
176,www.lenovo.com-1
314,www.harborfreight.com
264,www.dickssportinggoods.com
457,www.amazon.com
681,www.kohls.com
706,www.walmart.com
1112,www.walgreens.com
442,www.homedepot.com
731,www.wholefoods.com
236,www.wholefoods.com-0
495,www.wholefoods.com-1
430,www.apple.com
502,www.samsung.com
171,www.samsung.com-0
331,www.samsung.com-1
679,www.vizio.com
208,www.vizio.com-0
470,www.vizio.com-1
1130,store.google.com
321,www.sprint.com
284,www.verizon.com
215,www.verizon.com-0
69,www.verizon.com-1
580,www.samsclub.com
353,www.sears.com
351,www.kmart.com
582,www.staples.com
658,www.dell.com
338,www.dell.com-0
320,www.dell.com-1
336,www.target.com
1480,www.bjs.com
390,www.lenovo.com
332,www.lenovo.com-0
58,www.lenovo.com-1
345,www.harborfreight.com
269,www.dickssportinggoods.com
440,www.amazon.com
729,www.kohls.com
513,www.walmart.com
701,www.walgreens.com
432,www.homedepot.com
441,www.wholefoods.com
190,www.wholefoods.com-0
250,www.wholefoods.com-1
208,www.apple.com
536,www.samsung.com
173,www.samsung.com-0
362,www.samsung.com-1
604,www.vizio.com
175,www.vizio.com-0
429,www.vizio.com-1
885,store.google.com
378,www.sprint.com
275,www.verizon.com
215,www.verizon.com-0
60,www.verizon.com-1
332,www.samsclub.com
326,www.sears.com
347,www.kmart.com
592,www.staples.com
312,www.dell.com
174,www.dell.com-0
138,www.dell.com-1
315,www.target.com
1286,www.bjs.com
478,www.lenovo.com
297,www.lenovo.com-0
181,www.lenovo.com-1
329,www.harborfreight.com
395,www.dickssportinggoods.com
1085,www.amazon.com
826,www.kohls.com
648,www.walmart.com
685,www.walgreens.com
574,www.homedepot.com
579,www.wholefoods.com
203,www.wholefoods.com-0
375,www.wholefoods.com-1
521,www.apple.com
